Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Aeugst am Albis;8914;00;Aeugst am Albis;1;ZH;8.487911353897033;47.26870659372531;de;2008-07-01
Aeugstertal;8914;02;Aeugst am Albis;1;ZH;8.49363930090502;47.28270771355741;de;2008-07-01
Zwillikon;8909;00;Affoltern am Albis;2;ZH;8.433816382206734;47.289571911025355;de;2008-07-01
Affoltern am Albis;8910;00;Affoltern am Albis;2;ZH;8.454392390338276;47.27879101855457;de;2008-07-01
Bonstetten;8906;00;Bonstetten;3;ZH;8.462510333365264;47.31603645328917;de;2008-07-01
Sihlbrugg;6340;04;Hausen am Albis;4;ZH;8.575173951552003;47.221166984565386;de;2008-07-01
Langnau am Albis;8135;00;Hausen am Albis;4;ZH;8.522602732801188;47.2661624930981;de;2008-07-01
Hausen am Albis;8915;00;Hausen am Albis;4;ZH;8.533080372257203;47.24868312064546;de;2008-07-01
Ebertswil;8925;00;Hausen am Albis;4;ZH;8.5533878200836;47.2279094397361;de;2008-07-01
Hedingen;8908;00;Hedingen;5;ZH;8.450402732204708;47.30233830626068;de;2008-07-01
Kappel am Albis;8926;00;Kappel am Albis;6;ZH;8.518401270269894;47.22850464577662;de;2008-07-01
Hauptikon;8926;02;Kappel am Albis;6;ZH;8.494435214349895;47.2325473504807;de;2008-07-01
Uerzlikon;8926;03;Kappel am Albis;6;ZH;8.499050491000277;47.21811360803896;de;2008-07-01
Knonau;8934;00;Knonau;7;ZH;8.46307051432766;47.22429178727989;de;2008-07-01
Maschwanden;8933;00;Maschwanden;8;ZH;8.430865808058554;47.23566580017215;de;2008-07-01
Mettmenstetten;8932;00;Mettmenstetten;9;ZH;8.46621230089291;47.24873640804126;de;2008-07-01
Affoltern am Albis;8910;00;Obfelden;10;ZH;8.43856623125508;47.27137607268962;de;2008-07-01
Obfelden;8912;00;Obfelden;10;ZH;8.422386633621775;47.26039751720163;de;2008-07-01
Ottenbach;8913;00;Ottenbach;11;ZH;8.40857483952707;47.281075031184635;de;2008-07-01
Rifferswil;8911;00;Rifferswil;12;ZH;8.49488717954399;47.245500570347204;de;2008-07-01
Adliswil;8134;00;Stallikon;13;ZH;8.505877599121481;47.312105292377176;de;2008-07-01
Stallikon;8143;00;Stallikon;13;ZH;8.489620691180106;47.32971316329592;de;2008-07-01
Uetliberg;8143;02;Stallikon;13;ZH;8.491735690425953;47.348511839065544;de;2008-07-01
Wettswil;8907;00;Wettswil am Albis;14;ZH;8.470612514895661;47.33740220379512;de;2008-07-01
Benken ZH;8463;00;Benken (ZH);22;ZH;8.6546665443761;47.65377796453926;de;2008-07-01
Berg am Irchel;8415;00;Berg am Irchel;23;ZH;8.585741053409775;47.562975248392306;de;2008-07-01
Gräslikon;8415;01;Berg am Irchel;23;ZH;8.605113275178551;47.55600242588506;de;2008-07-01
Buch am Irchel;8414;00;Buch am Irchel;24;ZH;8.625154489270875;47.55047880740978;de;2008-07-01
Dachsen;8447;00;Dachsen;25;ZH;8.624375292616413;47.66174994264278;de;2008-07-01
Dorf;8458;00;Dorf;26;ZH;8.649329747554424;47.57127196518884;de;2008-07-01
Feuerthalen;8245;00;Feuerthalen;27;ZH;8.644166019703103;47.68902348210105;de;2008-07-01
